WatchedDate,tmdbID,imdbID,Title,Year
,537055,tt8752498,Wonder Woman: Bloodlines,2019
,323027,tt4324302,Justice League: Gods and Monsters,2015
,4553,tt0361862,The Machinist,2004
,9798,tt0120660,Enemy of the State,1998
,416144,tt5461944,Hotel Mumbai,2019
,62177,tt1217209,Brave,2012
,845222,tt13412252,Kingdom: Ashin of the North,2021
,381288,tt4972582,Split,2016
,337170,tt3532216,American Made,2017
,694,tt0081505,The Shining,1980
,38,tt0338013,Eternal Sunshine of the Spotless Mind,2004
,419430,tt5052448,Get Out,2017
,44040,tt1314655,Devil,2010
,4922,tt0421715,The Curious Case of Benjamin Button,2008
,616037,tt10648342,Thor: Love and Thunder,2022
,150540,tt2096673,Inside Out,2015
,742092,tt6257970,The End Of The Fucking World,2017
,504253,tt7236034,I Want to Eat Your Pancreas,2018
,585,tt0198781,"Monsters, Inc.",2001
